seed,theta10_0_1,theta10_0_2,theta10_0_3,theta1_0_1,theta1_0_2,theta1_0_3,theta2_0_1,theta2_0_2,theta2_0_3,theta2_1_1,theta2_1_2,theta2_1_3,theta3_0_1,theta3_0_2,theta3_0_3,theta3_1_1,theta3_1_2,theta3_1_3
0,0.33865750968188196,0.29741580998794015,0.2970231817812843,0.3818223349849146,0.3078903663036397,0.3080934149196707,1.488169723742668,1.5183567364292525,1.5270449354032483,0.7700891476211358,0.7875785628492912,0.7932096451572362,0.10400199941936136,0.10151759462598696,0.10020090274288322,0.00070578031182426,-8.135881072083011e-05,1.2596104661169298e-06
1,0.3354922570223001,0.2992968559021695,0.29837883181496483,0.3791901366385256,0.3040799994454131,0.3074175328963095,1.3722189868128394,1.4064600158600893,1.4141524612634917,0.7325274132924552,0.7542223020898858,0.7593121934135647,0.10322355038183871,0.100760783537149,0.09940228402560314,0.0002939298622116327,-0.00033148815288205154,-0.0003871959328672104
2,0.3342151498300443,0.29209455354250535,0.29165676173555877,0.38069044288585585,0.3031202354849355,0.3084525204265097,1.5133676532541767,1.543964546757446,1.5532148825727807,0.8225028443804542,0.838985997435693,0.845043733869278,0.10375094733762791,0.1012654570483208,0.09976175891636298,0.0006692680711806399,6.66000989763969e-06,-0.0001451961863620868
3,0.34377513110027763,0.3069785233165654,0.30550764446535156,0.37071789174912934,0.3055622401858031,0.3094002685136271,1.4348734126055027,1.4683843705907333,1.4767194400712031,0.736980326855138,0.7585498325904061,0.7639113420232592,0.10336954743729328,0.10129683579313647,0.1001395643399925,0.00010027572620271996,-0.0003584469126299241,-0.0003700495858590844
4,0.3421633082624515,0.3054959218348329,0.30463291134741144,0.37803033495268246,0.3066082514761765,0.31067088268652093,1.428389033339174,1.4616542839717577,1.4699996831921645,0.7658396581342598,0.7872480031546855,0.7928011310239561,0.10381697788047123,0.10140519244589684,0.1001353755633579,0.0010914263628949272,0.0006142237786694514,0.0005557587551070616
5,0.3502192773903726,0.3052447991276995,0.30371747012080585,0.3970187057859948,0.3036230372036801,0.31279476732079176,1.4677010610470564,1.499157872486839,1.5078662871756392,0.7494043741615387,0.7677959452522345,0.7731841613979131,0.10332596444286873,0.10073502186341081,0.09924109833038058,0.0008910147974473586,0.0004022149519453081,0.00022688037398179884
6,0.34296061263552585,0.3074128413573775,0.30684809935495067,0.3749480168059301,0.30578527166982516,0.31395246405385835,1.3895061943218343,1.4277476062709766,1.4355736409055597,0.7243625923272475,0.7484663591694583,0.7536812796985846,0.10406516085400769,0.10158724208043964,0.10028992431598724,0.000246098936125362,-0.00044760920963769947,-0.00045892480975771757
7,0.3388822411230867,0.300442176640497,0.2999205543922718,0.38224715969317136,0.3049999187548461,0.31148139286827237,1.4645744274576757,1.4965620375181659,1.5053266777306757,0.8004792259922529,0.820369782769056,0.8262004411208783,0.10409781327769106,0.10139958442722294,0.10003682315166947,0.0005650686126423568,-0.00017862904266386024,-0.00029566574206285
8,0.3537974211895567,0.3067889024657403,0.3050633886468956,0.39494211282562974,0.3064025482783626,0.3117296476236175,1.5230081607799235,1.559702727250239,1.5693157363231658,0.7916599229830271,0.813548313327566,0.8195386462952329,0.10358316789274469,0.10109407054630917,0.09975179291645622,0.0005342093608278075,-4.9482381454504964e-05,-0.0002420741593006415
9,0.35439561306699313,0.30874254387948924,0.3073586016604075,0.3940252427151812,0.3128248923296241,0.31554556615338497,1.476202772544979,1.5119620249374963,1.5207308103425958,0.7646989810514031,0.7852207829445541,0.790879261270926,0.10400756462113665,0.10128194501427426,0.09996789467969493,0.0022601656523043093,0.0014282188593265082,0.001392288661515711
10,0.3465626684811344,0.30387029638305174,0.3031229350003232,0.38544246529880266,0.30878722847346146,0.3118604915132907,1.4773266911582765,1.5061240584000293,1.5147368764457054,0.7971836022462413,0.8130565774818953,0.8186827069823532,0.10373932895716693,0.10120766614764404,0.09979141197662181,0.0006987768139323331,4.6210329277003375e-05,-1.6583782796361745e-05
11,0.3459311860186824,0.3016237944246171,0.30088342530703555,0.3927424016732667,0.3042241198530902,0.31004117809557014,1.4252126713298396,1.4603271928096417,1.4686976444520219,0.7264399233786267,0.7476823209173064,0.7529472707753185,0.10385558106439001,0.10104455145940382,0.09967188673163455,0.001509298923599518,0.000945577395192047,0.0008793022615931603
12,0.34451199669893395,0.30147129672780715,0.30006733140453645,0.3826079767157059,0.3070989281997902,0.3102635288555323,1.5251163088467723,1.559738900228728,1.569241961909958,0.8422341906123159,0.8636433573835339,0.8699706024537877,0.1034375415888267,0.10104308652087107,0.09985993807075147,0.0012947692132236276,0.0007407559086979287,0.0007681187112604035
13,0.3316030576629175,0.3001933372288179,0.29957799725145945,0.3663587966995407,0.3002434858175816,0.3070105925751757,1.3955790473597098,1.4250308025174416,1.432626296756896,0.764201281363581,0.783811520117302,0.7891317957025962,0.10394020850928422,0.1015202509846209,0.10023659813753333,0.0005327238179557452,-0.00015938034860790273,-0.0002240108620890865
14,0.3364069498494011,0.29863985264760085,0.297721825430796,0.37010103442303216,0.3016308698786777,0.3057152171698524,1.4515484515956598,1.4818011015602326,1.4904531517886843,0.7443433809515948,0.7627716345967661,0.7683523434774338,0.10378148079791341,0.10133278641259465,0.10011028254769663,0.00031693204229353317,-0.0002659262035596486,-0.0003536819582170476
15,0.340414123633461,0.29378770818481786,0.29290148901535235,0.38262430250352664,0.30305641165014113,0.30199995681283587,1.4855927984667439,1.5161491948601362,1.524864019229977,0.764005148444372,0.7794383297138874,0.7849929093450615,0.10415102508906542,0.10146304192697281,0.09983988624363857,0.0016026432171441952,0.0007985579343382081,0.0006600238620899642
16,0.34545675087310274,0.29805101014522783,0.29701180146652817,0.3860218671198355,0.30162739399338667,0.3093647499339042,1.5450713001369158,1.5774861007163028,1.587201131776377,0.8330838744064056,0.8522692543758196,0.858498400288472,0.10392782601694431,0.1011662716291266,0.09972794190245293,0.00032023312184919546,-0.0002475423809135797,-0.00041575947994720343
17,0.33683813009964597,0.295265980899094,0.2943841568252467,0.3798865245161797,0.3015690967836093,0.30751518728518185,1.405350325493034,1.4396851548186922,1.4479839603396258,0.7552740595167093,0.7749858143917563,0.7803358756688183,0.1035464737955885,0.10105355332935001,0.09984942678304702,0.00010728332758286872,-0.00036468038018373046,-0.000404433155197066
